background,background-(def-all-nosource)
landcover-glacier,landcover-glacier-(def-all-osm)
landuse-mml-taajama,landuse-built_up-(def-fin-mml_topo)
landuse-mml-taajama-woodmask,landuse-built_up-woodmask-(def-all-osm)
landuse-residential,landuse-residential-(def-all-osm)
landuse-commercial,landuse-commercial-(def-all-osm)
landuse-industrial,landuse-industrial-(def-all-osm)
landuse-cemetery,landuse-cemetery-(def-all-osm)
landuse-hospital,landuse-hospital-(def-all-osm)
landuse-school,landuse-school-(def-all-osm)
landuse-railway,landuse-railway-(def-all-osm)
parking_area-fill,landuse-parking_area-(def-all-osm)
landcover-wood,landcover-wood-(def-all-osm)
landuse-quarry-mml,landuse-quarry-(def-all-mml_topo)
landuse-quarry-osm,landuse-quarry-(def-all-osm)
landuse-storage,landuse-storage-(def-all-mml_topo)
landcover-grass,landcover-grass-(def-all-osm)
landcover-allotments,landcover-allotments-(def-all-osm)
landcover-ice-shelf,landcover-ice_shelf-(def-all-osm)
landcover-sand,landcover-sand-(def-all-osm)
landcover-scrub_mml,landcover-scrub-(def-fin-mml_topo)
landcover-scrub_mml-nowoods,landcover-scrub-nowoods-(def-fin-mml_topo)
landcover-scrub_osm,landcover-scrub-(def-all-osm)
landcover-scrub_osm-nowoods,landcover-scrub-(def-all-osm)
landcover-clearcut_mml,landcover-clearcut-(def-fin-mml_topo)
landcover-bare_rock,landcover-bare_rock-(def-fin-mml_topo)
landcover-scree-osm,landcover-scree-(def-all-osm)
landcover-scree-mml,landcover-scree-(def-fin-mml_topo)
landcover-field,landcover-field-(def-fin-mml_topo)
landcover-field-gr,landcover-field-(gr-fin-mml_topo)
landuse-pitch_track,landuse-sport_play-(def-all-osm)
landuse-boundaries,landuse-area_borders-(def-all-osm)
contours-line,contours-mainline-(def-fin-mml_topo)
contours-line-low-zoom,contours-mainline_farzoom-(def-fin-mml_topo)
contours-additional-line,contours-midline-(def-fin-mml_topo)
water-ocean-osm,water-ocean-(def-all-osm)
water-ocean-osm-hc,water-ocean-(def-all-osm-hc)
water-lake-osm,water-lake-(def-all-osm)
water-lake-osm-hc,water-lake-(def-all-osm-hc)
water-lake-mml,water-lake-(def-fin-mml_topo)
water-lake-mml-hc,water-lake-(def-fin-mml_topo-hc)
water-intermittent-osm,water-intermittent-(def-all-osm)
water-intermittent-osm-hc,water-intermittent-(def-all-osm-hc)
water-contours-line-1,water_contours-line_1500-(def-fin-mml_topo)
water-contours-line-2,water_contours-line_3000-(def-fin-mml_topo)
water-contours-line-3,water_contours-line_6000-(def-fin-mml_topo)
water-contours-line-4,water_contours-line_over6000-(def-fin-mml_topo)
shipping-lane,water-shipping_lane-(def-fin-mml_topo)
water-contours-line-label,water_contours-line_label-(def-fin-mml_topo)
